,surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,capillary_refill_time,pain,abdominal_distention,nasogastric_tube,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_protein,surgical_lesion,cp_data,rectal_temp_missing,pulse_missing,respiratory_rate_missing,nasogastric_reflux_ph_missing,packed_cell_volume_missing,total_protein_missing,abdomo_protein_missing,pain_missing,abdomo_appearance_missing,mucous_membrane_bright_pink,mucous_membrane_bright_red,mucous_membrane_dark_cyanotic,mucous_membrane_normal_pink,mucous_membrane_pale_cyanotic,mucous_membrane_pale_pink,peristalsis_absent,peristalsis_hypermotile,peristalsis_hypomotile,peristalsis_normal,nasogastric_reflux_less_1_liter,nasogastric_reflux_more_1_liter,nasogastric_reflux_none,abdomo_appearance_clear,abdomo_appearance_cloudy,abdomo_appearance_serosanguious,abdomo_appearance_unknown,lesion_2_0,lesion_2_1400,lesion_2_3111,lesion_2_3112,lesion_2_6112,lesion_2_7111,lesion_3_0,lesion_3_2209,lesion_site,lesion_type,lesion_subtype,lesion_specific_code
0,0,1,38.5,66.0,28.0,1.0,1.0,1.0,4,3.0,,0.0,2.0,4.0,45.0,8.4,0.0,0,no,0,0,0,1,0,0,1,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,11,3,0,0
1,1,1,39.2,88.0,20.0,,,0.0,1,1.0,,0.0,0.0,2.0,50.0,85.0,2.0,0,no,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,2,2,0,8
2,0,1,38.3,40.0,24.0,2.0,2.0,0.0,1,0.0,,0.0,1.0,0.0,33.0,6.7,0.0,0,yes,0,0,0,1,0,0,1,0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,0,0,0,0
3,1,0,39.1,164.0,84.0,0.0,2.0,1.0,2,3.0,0.0,5.0,2.0,,48.0,7.2,5.3,1,yes,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,2,2,0,8
4,0,1,37.3,104.0,35.0,,,1.0,-1,,,0.0,,,74.0,7.4,0.0,0,no,0,0,0,1,0,0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,4,3,0,0
5,0,1,0.0,0.0,0.0,3.0,2.0,0.0,2,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0,no,1,1,1,1,1,1,1,0,1,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,0,0,0,0
6,1,1,37.9,48.0,16.0,2.0,2.0,0.0,1,2.0,0.0,0.0,2.0,4.0,37.0,7.0,0.0,1,no,0,0,0,1,0,0,1,0,1,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,3,1,2,4
7,1,1,0.0,60.0,0.0,1.0,,0.0,-1,1.0,1.0,0.0,2.0,1.0,44.0,8.3,0.0,1,no,1,0,1,1,0,0,1,1,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,2,2,0,8
8,0,1,0.0,80.0,36.0,1.0,0.0,0.0,3,3.0,1.0,0.0,2.0,4.0,38.0,6.2,0.0,1,no,1,0,0,1,0,0,1,0,1,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,3,2,0,5
9,0,0,38.3,90.0,0.0,2.0,,0.0,4,0.0,1.0,0.0,2.0,,40.0,6.2,2.2,0,yes,0,0,1,1,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,0,0,0,0
10,1,1,38.1,66.0,12.0,1.0,1.0,0.0,1,0.0,1.0,3.0,3.0,4.0,44.0,6.0,3.6,1,yes,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,2,1,2,4
11,0,1,39.1,72.0,52.0,3.0,,0.0,2,1.0,0.0,0.0,0.0,1.0,50.0,7.8,0.0,1,no,0,0,0,1,0,0,1,0,1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,2,1,1,1
12,1,1,37.2,42.0,12.0,3.0,2.0,0.0,1,2.0,2.0,0.0,0.0,4.0,0.0,7.0,0.0,0,no,0,0,0,1,1,0,1,0,1,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,4,1,2,4
13,0,0,38.0,92.0,28.0,2.0,2.0,0.0,0,1.0,2.0,7.2,1.0,0.0,37.0,6.1,0.0,0,yes,0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0,0,0,0
14,1,1,38.2,76.0,28.0,1.0,2.0,0.0,1,0.0,1.0,0.0,0.0,1.0,46.0,81.0,2.0,1,no,0,0,0,1,0,0,0,0,0,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,2,1,1,2
15,1,1,37.6,96.0,48.0,1.0,2.0,0.0,4,2.0,1.0,4.5,0.0,,45.0,6.8,0.0,1,no,0,0,0,0,0,0,1,0,1,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,3,2,0,7
16,1,0,0.0,128.0,36.0,1.0,1.0,1.0,3,2.0,2.0,0.0,0.0,4.0,53.0,7.8,4.7,0,yes,1,0,0,1,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,1,4,0,0
17,0,1,37.5,48.0,24.0,,,,-1,,,0.0,,,0.0,0.0,0.0,0,no,0,0,0,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,0,0,0,0
18,1,1,37.6,64.0,21.0,2.0,2.0,0.0,2,0.0,0.0,0.0,3.0,4.0,40.0,7.0,0.0,1,yes,0,0,0,1,0,0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,4,2,0,5
19,0,1,39.4,110.0,35.0,0.0,1.0,,-1,2.0,,0.0,,,55.0,8.7,0.0,0,no,0,0,0,1,0,0,1,1,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,0,0,0,0
20,1,1,39.9,72.0,60.0,2.0,2.0,1.0,4,3.0,2.0,0.0,0.0,1.0,46.0,6.1,0.0,1,no,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,2,1,1,1
21,0,1,38.4,48.0,16.0,2.0,,0.0,0,0.0,1.0,5.5,0.0,3.0,49.0,6.8,0.0,0,no,0,0,0,0,0,0,1,0,1,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,0,0,0,0
22,1,1,38.6,42.0,34.0,3.0,2.0,,2,0.0,,0.0,1.0,,48.0,7.2,0.0,1,no,0,0,0,1,0,0,1,0,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,3,1,1,1
23,1,0,38.3,130.0,60.0,,1.0,0.0,2,,,0.0,,,50.0,70.0,0.0,1,no,0,0,0,1,0,0,1,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,3,1,1,1
24,1,1,38.1,60.0,12.0,1.0,1.0,0.0,-1,2.0,2.0,2.0,,,51.0,65.0,0.0,1,no,0,0,0,0,0,0,1,1,1,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,3,1,1,1
25,0,1,37.8,60.0,42.0,,,0.0,-1,,,0.0,,,0.0,0.0,0.0,0,no,0,0,0,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,0,0,0,0
26,1,1,38.3,72.0,30.0,0.0,1.0,1.0,1,2.0,1.0,0.0,2.0,4.0,43.0,7.0,3.9,1,yes,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,3,1,1,1
27,1,1,37.8,48.0,12.0,1.0,2.0,0.0,-1,1.0,0.0,0.0,1.0,3.0,37.0,5.5,1.3,0,yes,0,0,0,1,0,0,0,1,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,4,1,2,2
28,1,1,0.0,0.0,0.0,,,,-1,,,0.0,,,0.0,0.0,0.0,0,no,1,1,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,4,3,0,0
29,0,1,37.7,48.0,0.0,3.0,2.0,0.0,0,0.0,0.0,0.0,,,45.0,76.0,0.0,0,no,0,0,1,1,0,0,1,0,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,0,0,0,0
30,0,1,37.7,96.0,30.0,1.0,1.0,1.0,4,3.0,2.0,4.0,0.0,4.0,66.0,7.5,0.0,1,no,0,0,0,0,0,0,1,0,1,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,4,2,0,5
31,0,1,37.2,108.0,12.0,1.0,1.0,1.0,2,1.0,,6.0,2.0,3.0,52.0,8.2,7.4,1,yes,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,2,2,0,7
32,1,1,37.2,60.0,0.0,3.0,2.0,0.0,1,2.0,1.0,0.0,0.0,4.0,43.0,6.6,0.0,1,no,0,0,1,1,0,0,1,0,1,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,2,2,0,9
33,1,1,38.2,64.0,28.0,2.0,2.0,0.0,1,,,0.0,0.0,1.0,49.0,8.6,6.6,1,yes,0,0,0,1,0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,2,2,0,8
34,1,1,0.0,100.0,30.0,1.0,1.0,1.0,4,3.0,2.0,0.0,0.0,1.0,52.0,6.6,0.0,1,no,1,0,0,1,0,0,1,0,1,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,1,1,2,4
35,0,1,0.0,104.0,24.0,0.0,1.0,1.0,3,2.0,,0.0,,2.0,73.0,8.4,0.0,1,no,1,0,0,1,0,0,1,0,1,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,7,1,1,1
36,0,1,38.3,112.0,16.0,,1.0,1.0,-1,0.0,0.0,0.0,,4.0,51.0,6.0,1.0,0,yes,0,0,0,1,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,5,2,0,5
37,1,1,37.8,72.0,0.0,,1.0,0.0,4,0.0,,0.0,1.0,0.0,56.0,80.0,2.0,1,no,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,3,1,1,1
38,0,1,38.6,52.0,0.0,2.0,2.0,0.0,1,1.0,0.0,0.0,1.0,3.0,32.0,6.6,5.0,0,yes,0,0,1,1,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,0,0,0,0
39,1,0,39.2,146.0,96.0,,,,-1,,,0.0,,,0.0,0.0,0.0,1,no,0,0,0,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,2,1,1,3
40,1,1,0.0,88.0,0.0,1.0,1.0,1.0,4,2.0,0.0,0.0,0.0,4.0,63.0,6.5,0.0,1,no,1,0,1,1,0,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,4,2,0,5
41,0,0,39.0,150.0,72.0,,,,-1,,,0.0,,,47.0,8.5,0.1,1,yes,0,0,0,1,0,0,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,9,4,0,0
42,0,1,38.0,60.0,12.0,1.0,2.0,0.0,1,0.0,0.0,0.0,3.0,2.0,47.0,7.0,0.0,0,no,0,0,0,1,0,0,1,0,1,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,3,1,1,1
43,1,1,0.0,120.0,0.0,1.0,0.0,0.0,3,3.0,0.0,0.0,,4.0,52.0,67.0,2.0,1,no,1,0,1,1,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,3,2,0,5
44,1,1,35.4,140.0,24.0,1.0,1.0,1.0,3,,1.0,0.0,,4.0,57.0,69.0,2.0,1,no,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,3,2,0,5
45,0,1,0.0,120.0,0.0,0.0,1.0,1.0,4,3.0,0.0,0.0,0.0,4.0,60.0,6.5,0.0,1,no,1,0,1,1,0,0,1,0,0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,3,2,0,5
