Age,Education,Income
58,18,4396.947784482163
48,10,5418.545638193808
34,14,5927.04306647543
62,15,
27,14,5758.909754800586
40,15,6485.5301165562605
58,15,2223.589463157098
38,16,6415.195762798052
42,13,5513.6416478319115
30,17,
30,16,6203.706323479533
43,18,4402.518640964057
55,16,4607.050345522171
59,12,
43,12,5453.598266357337
22,17,3821.97028623192
41,14,6352.211944921679
21,13,4791.706119207993
43,17,4453.696274768094
63,15,6129.313516420955
49,11,
57,13,6422.265238043452
21,13,6469.3894262612985
40,15,2997.7942426715344
52,15,6663.890303334386
31,10,
41,17,
63,15,8042.535788345358
44,12,6312.251657403697
68,18,1764.5290329504905
46,11,6595.348579079027
61,17,8369.193448904018
47,19,4545.4525385029565
35,12,4947.945019955165
34,14,3217.269917110352
66,15,5468.119128229504
63,19,6903.765773814694
22,15,
56,13,9712.950465931699
26,12,5049.5405644486955
40,13,2553.9899488771034
28,10,5256.4564573523285
58,13,1375.3223521812656
37,10,4200.344112703229
23,10,
44,19,5487.700472947657
33,15,5269.125219246903
69,14,7731.170565073035
28,13,4594.100162504945
45,12,
21,10,5193.960462749511
39,15,5570.07119518854
47,11,3174.0427162054807
66,17,4276.929807757675
26,19,2903.7226507341898
63,14,
27,16,5585.6035158744
66,19,3334.942842362822
54,11,
33,17,
36,11,
55,13,
69,10,3756.607878701117
59,14,5245.21621875118
23,18,3924.700669463613
21,10,7338.019865133474
25,18,3412.040975904378
61,17,5094.748188960761
23,15,5493.973677727664
48,16,5592.238616611552
37,12,4128.147240375752
45,10,3656.7358967823534
63,14,4149.807240430851
53,11,
29,14,4784.231343632055
55,17,6194.313212678782
33,18,5715.50557909261
50,11,1584.6309528505885
67,12,5371.246695255816
34,12,8375.682151724406
27,10,6987.903576557497
33,17,5633.019741060453
42,15,3410.911804295084
59,17,5716.330574188469
40,18,6109.6249098173885
35,14,
64,12,5475.113088206656
37,14,
66,14,3714.0883703874115
43,14,3412.5505925613097
45,12,
44,19,
64,13,6543.257443119217
60,18,5854.690717855655
48,19,
34,18,5648.288977198107
64,11,
20,17,4624.521932400509
44,17,5754.198846449606
26,16,4459.228674914166
28,17,8702.078273344741
43,12,2161.7236267645
20,15,4178.764464501784
63,10,
27,16,
43,10,
30,18,3010.3689697115105
36,10,
27,10,4179.357053919348
54,16,5245.3600033829825
54,11,4347.761357134633
52,14,3963.679381570685
24,17,7508.418854130274
61,17,6384.398273314112
58,12,2197.6994000672826
60,16,2038.7938274961698
47,12,6563.91325345473
26,15,
28,15,2526.376499098666
27,12,6568.602698810511
31,16,
53,12,5377.3566272484795
52,17,
67,19,3035.0342625764097
42,13,
43,10,7371.431442354803
56,13,2844.2498588865615
54,16,3166.6433043866537
63,13,3466.346930681351
59,15,8119.918885535783
41,18,5740.074950617283
46,10,
54,14,5294.251318368093
20,16,4097.16918319815
54,10,5946.936924890251
56,13,2665.0760438047946
66,15,3357.0748218552576
33,11,6099.462768892222
22,19,2964.11715375983
20,14,4716.37779625719
24,19,
45,10,
33,15,
58,15,4056.6066632169614
46,13,
28,17,5242.159794931548
34,13,5165.735808049203
34,17,
45,17,3986.0205905384037
61,14,5784.166925698838
32,13,
51,11,2267.142901021469
58,12,
68,12,4251.054140642004
51,13,3870.0526634921634
23,13,6183.9734177819
49,19,4027.006119426695
56,14,5410.064521916401
42,13,6219.944864874616
58,19,
64,17,
34,15,6502.891323432792
62,15,3142.7558377916494
48,17,5037.278507366967
55,16,3976.9484252010284
32,19,3238.2651762602923
51,19,
26,17,3214.027141731949
41,11,5090.043508628019
47,18,
21,10,
61,17,
64,13,5673.516445128404
25,13,4204.238565592765
47,14,
47,17,
63,14,5039.183647309588
63,17,1297.185626173538
39,19,6329.6722955243895
49,10,1559.035489949622
30,19,7214.219166080099
47,18,6625.377351113448
44,15,7661.318756207031
58,12,5390.39833755159
52,17,
20,18,
46,15,
32,16,6471.602980512054
60,10,6068.407234258817
22,14,5180.338450151319
58,14,
25,19,8943.818946950409
27,13,6368.561920944305
46,15,
28,16,4225.615976094309
56,18,6397.664146113058
52,10,3800.691618150974
61,15,
63,16,
43,12,-82.64212398458949
34,17,
51,14,4896.813730347682
51,18,4381.891316474315
43,14,5452.542702419061
60,18,5986.279411243812
68,19,5213.076416486914
68,13,
31,18,5948.931949676405
58,14,5073.580113911536
21,19,4653.949380206783
22,18,
68,12,2656.0178221008823
56,13,3003.1553109288943
68,18,
36,19,
68,15,
21,11,5968.876738690717
21,16,
47,11,
42,11,2388.527213947439
56,10,3936.310422647131
51,12,
52,15,
20,17,
38,18,
21,16,7022.420098889598
63,13,
45,15,
51,14,4110.758093930765
25,17,4239.000836917181
51,10,6425.807011892666
23,10,5637.993590714891
30,15,6315.618154025881
36,19,6010.3477147800495
57,11,7571.790602290598
43,14,3410.9216842862893
24,10,5570.537795575874
53,16,
25,10,3024.5666388547124
41,13,
30,18,5627.309919131804
67,10,4847.276386955646
35,13,4149.2113717809825
52,15,
28,15,7054.161464636156
25,17,4423.951733179789
35,10,7623.862433065292
48,16,6191.0256103117
22,10,5686.306019222346
39,16,3209.604634518507
55,12,6402.857242099441
38,17,4259.344133377251
45,12,
22,10,5769.265419619066
38,17,2918.0809091501906
39,12,3856.6378068056265
51,11,
26,10,8327.632136172091
60,12,3969.6263663112686
52,11,4312.675221049137
59,11,6098.517581632468
58,15,3142.556467435931
37,10,5664.2095715313735
59,11,6808.890211424881
20,15,
30,12,6539.2314220952985
47,13,5437.174884817709
