Age,Education,Income
58,18,
48,10,
34,14,
62,15,
27,14,
40,15,
58,15,2223.589463157098
38,16,
42,13,
30,17,
30,16,6203.706323479533
43,18,
55,16,
59,12,
43,12,
22,17,
41,14,
21,13,
43,17,
63,15,
49,11,
57,13,
21,13,
40,15,2997.7942426715344
52,15,
31,10,
41,17,
63,15,
44,12,
68,18,1764.5290329504905
46,11,
61,17,
47,19,4545.4525385029565
35,12,
34,14,3217.269917110352
66,15,
63,19,
22,15,
56,13,
26,12,
40,13,2553.9899488771034
28,10,
58,13,1375.3223521812656
37,10,
23,10,
44,19,5487.700472947657
33,15,
69,14,
28,13,
45,12,
21,10,
39,15,
47,11,
66,17,4276.929807757675
26,19,
63,14,
27,16,
66,19,3334.942842362822
54,11,
33,17,
36,11,
55,13,
69,10,
59,14,
23,18,
21,10,
25,18,
61,17,
23,15,
48,16,
37,12,
45,10,
63,14,
53,11,
29,14,
55,17,
33,18,
50,11,1584.6309528505885
67,12,
34,12,
27,10,
33,17,
42,15,
59,17,
40,18,
35,14,
64,12,
37,14,
66,14,
43,14,
45,12,
44,19,
64,13,
60,18,
48,19,
34,18,
64,11,
20,17,4624.521932400509
44,17,
26,16,
28,17,
43,12,
20,15,
63,10,
27,16,
43,10,
30,18,
36,10,
27,10,
54,16,5245.3600033829825
54,11,
52,14,
24,17,
61,17,
58,12,2197.6994000672826
60,16,2038.7938274961698
47,12,
26,15,
28,15,2526.376499098666
27,12,
31,16,
53,12,
52,17,
67,19,
42,13,
43,10,
56,13,
54,16,
63,13,
59,15,
41,18,
46,10,
54,14,
20,16,
54,10,
56,13,
66,15,
33,11,
22,19,2964.11715375983
20,14,
24,19,
45,10,
33,15,
58,15,
46,13,
28,17,
34,13,
34,17,
45,17,
61,14,
32,13,
51,11,2267.142901021469
58,12,
68,12,
51,13,
23,13,
49,19,
56,14,
42,13,
58,19,
64,17,
34,15,
62,15,
48,17,
55,16,
32,19,
51,19,
26,17,
41,11,
47,18,
21,10,
61,17,
64,13,
25,13,
47,14,
47,17,
63,14,
63,17,1297.185626173538
39,19,
49,10,
30,19,
47,18,
44,15,
58,12,
52,17,
20,18,
46,15,
32,16,
60,10,6068.407234258817
22,14,
58,14,
25,19,
27,13,
46,15,
28,16,
56,18,
52,10,
61,15,
63,16,
43,12,-82.64212398458949
34,17,
51,14,
51,18,
43,14,
60,18,
68,19,
68,13,
31,18,
58,14,
21,19,
22,18,
68,12,2656.0178221008823
56,13,
68,18,
36,19,
68,15,
21,11,
21,16,
47,11,
42,11,2388.527213947439
56,10,
51,12,
52,15,
20,17,
38,18,
21,16,
63,13,
45,15,
51,14,
25,17,
51,10,
23,10,
30,15,
36,19,
57,11,
43,14,
24,10,
53,16,
25,10,
41,13,
30,18,
67,10,
35,13,
52,15,
28,15,
25,17,
35,10,
48,16,
22,10,
39,16,
55,12,
38,17,
45,12,
22,10,
38,17,
39,12,3856.6378068056265
51,11,
26,10,
60,12,
52,11,
59,11,
58,15,
37,10,
59,11,
20,15,
30,12,
47,13,
44,10,
69,17,4703.292971155241
42,16,
50,16,
49,12,
61,19,
54,19,
26,12,
35,11,
45,10,
67,16,
68,16,
21,11,
20,16,
67,17,
31,10,
24,18,
56,16,
51,12,
28,17,
60,16,
54,17,
38,15,1592.171125361097
67,18,
35,14,2332.0537501852946
22,12,
39,12,
43,10,
52,17,
43,11,5044.668894851936
30,12,
68,17,
27,17,
55,13,
57,13,
59,14,
39,15,
54,14,
67,16,4444.240547465722
44,11,
54,16,
44,19,
48,16,
37,10,
65,16,
37,14,
21,12,
54,12,
35,13,
60,11,
55,11,
52,10,
23,14,
52,13,
33,19,
40,11,
67,12,
39,16,
27,16,
26,13,
22,14,
36,14,
52,15,
67,18,
31,11,
41,14,
41,12,
65,13,
49,19,
57,15,
57,17,
64,10,
27,19,
46,17,
46,16,
53,10,
40,11,2341.0848075262675
49,12,
52,10,
47,18,
66,17,
52,11,
24,18,
67,16,
38,18,
23,15,
54,15,
68,13,
36,19,
63,19,
47,11,
49,16,
48,14,
65,15,
25,11,
54,14,
60,19,
56,13,
43,18,
48,15,
68,11,
65,10,
50,14,
54,18,6240.4915836759765
52,15,
40,19,
51,16,
42,14,
52,19,
22,15,
37,14,
44,18,
61,15,3124.630252819521
50,17,
22,11,
59,18,
65,14,
43,16,
69,19,
51,10,
66,19,
41,14,
42,19,
21,11,
46,15,
61,10,
21,12,
45,14,
36,13,
59,12,
52,19,
28,14,
62,17,
67,13,5682.6391053644675
58,10,
48,16,
61,17,
45,12,
54,15,
69,11,
44,16,
43,17,4042.484209785496
32,15,3032.940912368521
26,15,
55,14,
64,17,
39,10,
20,19,
27,13,
65,13,
35,12,
33,12,
31,13,
42,10,
34,11,
47,18,
53,19,
21,11,
51,14,
42,18,
41,18,790.6743357521855
44,17,
41,10,
41,10,
68,18,
61,17,
25,19,
34,18,4303.5194832538
62,16,
56,12,
52,12,
27,11,4521.488499870764
63,14,
63,12,
24,15,
58,11,
23,12,
25,14,
64,10,
51,10,
49,19,
66,18,
54,16,
59,10,
35,17,3357.0475773952144
32,12,
69,17,
61,14,
49,10,
38,16,
36,14,
38,15,
47,15,
45,17,
56,18,
45,11,
42,18,
28,19,
31,18,
20,19,
20,19,3389.7984833908213
66,16,
53,10,
51,16,
67,19,
44,14,
59,15,
64,19,
20,16,
35,14,
58,16,
24,18,
41,12,
48,17,
22,11,
31,16,
45,11,
35,13,
56,16,
41,12,
48,11,
33,19,
47,16,
24,10,
66,17,
68,12,
49,11,
65,12,
24,14,
31,17,
35,19,
45,16,
45,16,
67,16,
40,17,5569.801776063622
58,10,
55,13,
52,15,
49,18,
56,11,
42,10,
29,19,
24,11,
55,16,
53,12,
50,19,
29,11,3684.2221990674498
38,16,
51,11,
20,12,
24,16,
64,13,3783.180179216678
23,10,
35,14,
43,18,
35,17,860.6039010906743
21,18,
68,19,3156.799372171794
47,18,
51,16,
46,13,
39,14,
43,10,
31,10,
69,12,
54,17,
52,11,
52,13,
62,11,
56,14,
31,18,
22,10,3413.4265278949188
20,14,
52,18,
59,10,
29,18,
62,17,
63,13,
48,19,
32,14,
31,14,
50,15,
65,16,
21,17,
69,17,
54,11,
42,18,
36,16,
45,13,
27,13,
48,17,
45,13,
29,15,4547.173242214172
45,14,
53,12,
60,19,6285.637995480533
26,11,
23,18,3823.946187509039
69,19,
64,18,
30,10,
48,19,
55,12,
44,17,
40,15,
55,14,
29,14,
56,15,
28,16,
43,10,
54,18,
68,12,
54,13,
67,19,
55,10,
37,19,
68,12,
58,11,
51,11,
43,10,
42,17,
51,12,
56,12,
31,15,
68,17,
32,18,
42,18,
44,13,
54,14,
60,11,
49,18,
36,17,
68,12,
39,18,
67,12,
44,18,
41,11,
32,19,
38,18,
68,17,
55,18,
31,14,
60,11,
38,17,
31,15,
28,17,
26,14,
47,19,
33,11,
50,15,
38,14,
66,14,
35,10,
24,11,
54,17,
31,12,2560.98336233517
44,19,
40,12,
55,17,
42,17,
35,11,
58,17,
64,10,
61,15,
58,17,
33,12,
50,17,
24,10,
54,18,
42,18,
48,14,
62,19,
30,13,
37,15,
66,16,
31,14,
28,19,
29,18,
63,12,
36,16,
57,19,
26,19,
65,14,
32,16,
59,11,
61,13,1247.2957079182052
28,11,
69,16,
46,11,
21,10,1223.8503464037062
24,18,
48,10,
56,17,
57,11,
38,17,
27,12,
67,15,
64,12,1423.4649869655677
20,16,2838.301070215096
41,19,4261.473481790659
36,18,2985.6434025955878
26,11,
44,14,
64,15,
23,13,
55,13,
25,13,
50,11,4903.8945498072535
38,13,
63,10,
58,15,
46,10,
29,19,
45,15,
38,10,
58,15,
22,19,3531.5671308390947
64,17,
32,11,
69,11,
47,13,
39,12,
47,13,
27,16,
60,10,
58,15,
20,12,
22,19,
32,16,
47,19,
68,11,
44,11,
52,13,
57,10,
25,12,
63,18,
64,16,
51,16,
64,13,
66,11,
40,13,
35,15,
40,12,
30,10,1321.3896148516064
56,17,
55,14,4720.816478371746
54,14,
38,13,
39,15,2772.4667625786533
37,12,
66,18,
60,14,
68,12,
33,10,
34,19,5197.1876011718305
50,15,
20,11,
22,12,
35,10,1765.8484529377752
42,18,
30,17,
31,11,
29,17,
51,18,
35,10,
27,14,
57,17,
31,11,
43,13,
47,16,
27,12,
47,14,
55,17,
45,19,
27,12,
69,13,
