Age,Education,Income,Experience
58,18,6214.957431023147,10
48,10,4380.284250840034,14
34,14,4786.980574842854,31
62,15,5580.46321680411,27
27,14,4358.274699454557,21
40,15,4823.972196144032,16
58,15,6952.917412674244,25
38,16,4703.439405400047,6
42,13,6021.325686441671,25
30,17,4793.476145591688,24
30,16,4099.270514635135,9
43,18,5315.4054626298785,18
55,16,5597.795126831094,10
59,12,6071.078745370617,12
43,12,4793.054506283366,7
22,17,4945.088816672978,39
41,14,5512.699045398362,3
21,13,4065.8907840807956,30
43,17,6014.557384034767,27
63,15,6187.139622041424,10
49,11,5998.812482430582,0
57,13,5869.150293761212,37
21,13,4246.943797405289,23
40,15,4959.2806095286105,30
52,15,5647.650676936969,25
31,10,4635.265930193999,4
41,17,4715.134083755804,19
63,15,5949.465666538456,10
44,12,5091.622491756914,32
68,18,6514.855508401149,37
46,11,5284.710490248266,26
61,17,6636.516266912853,33
47,19,5773.559159489821,14
35,12,4651.836221987313,31
34,14,5390.89194872597,20
66,15,7236.510311787729,4
63,19,5128.0868525389415,5
22,15,4566.1450425331395,37
56,13,5453.50790133425,21
26,12,4700.37401066165,17
40,13,5619.118970323216,13
28,10,3961.5037027447243,9
58,13,4973.83645049212,12
37,10,5267.717044107932,30
23,10,4217.701241241805,29
44,19,4365.780623048686,2
33,15,5914.782252731411,29
69,14,6762.209706128276,5
28,13,4735.050020062577,28
45,12,5932.908876281024,7
21,10,3759.588023576749,32
39,15,5015.2270560443385,16
47,11,4690.339043110119,10
66,17,5996.025776357408,12
26,19,4492.830000234619,10
63,14,5317.357666433774,30
27,16,4031.8552271609597,27
66,19,5836.03302003114,5
54,11,5771.046122810172,15
33,17,4937.350630832674,3
36,11,5171.076402188229,34
55,13,6249.408322389076,25
69,10,7136.058423286186,11
59,14,6253.622726841703,10
23,18,5093.667949447207,36
21,10,4109.751260632341,24
25,18,4163.339422874727,17
61,17,6353.65368168002,18
23,15,4041.7944125037056,22
48,16,6326.2823643875245,37
37,12,5415.4917365676065,17
45,10,5625.139072099757,25
63,14,6215.7096720206755,5
53,11,5446.261414292569,3
29,14,4800.66250228388,28
55,17,5186.45127407652,33
33,18,5417.1817667205105,16
50,11,5411.181647307313,15
67,12,6502.553366620365,1
34,12,4245.199461903356,33
27,10,4711.49313155961,7
33,17,4423.129193580836,12
42,15,5424.614395152549,7
59,17,6328.696734488694,29
40,18,4676.1839432057295,31
35,14,4188.235439543003,35
64,12,6965.949958272273,29
37,14,4753.850482985459,0
66,14,6412.424408022819,38
43,14,5392.732262323371,16
45,12,4623.149935050889,19
44,19,5431.333068409944,23
64,13,6249.563268077319,21
60,18,5678.2346511478045,28
48,19,4821.732007581135,21
34,18,5002.942773978635,8
64,11,6763.85600409744,36
20,17,4089.2952586964016,9
44,17,4482.767329075156,35
26,16,3771.3335914126346,36
28,17,4183.938145337973,27
43,12,5932.309870580375,27
20,15,3876.6246689505624,20
63,10,5915.7155386009,23
27,16,3513.2576001619427,39
43,10,4821.657604944944,1
30,18,3883.531823004585,7
36,10,4298.4100845386,26
27,10,4409.975340079372,21
54,16,5499.417897194411,36
54,11,6549.747226335673,26
52,14,6139.0016863537385,28
24,17,3895.5580310948308,2
61,17,5591.591079129743,12
58,12,6591.320967832096,9
60,16,6830.021244741742,35
47,12,4252.875878227234,8
26,15,4346.428811985851,26
28,15,4274.060846051636,33
27,12,4674.560070029968,0
31,16,5521.334062080752,31
53,12,5407.971490336101,24
52,17,4569.650742668043,28
67,19,6639.503850074632,6
42,13,5794.982034302101,2
43,10,4998.1201092401125,19
56,13,5447.4812599301695,19
54,16,5481.37029731115,29
63,13,6575.102683565618,34
59,15,5722.76952935751,34
41,18,5214.380150171422,38
46,10,5313.90145786997,26
54,14,5662.310193788617,25
20,16,4350.646163376116,13
54,10,5460.710050067903,16
56,13,5584.706719908861,17
66,15,6698.801424999877,28
33,11,4156.537337915674,19
22,19,3659.8899045888365,26
20,14,3369.8428543282034,17
24,19,4624.505456638277,3
45,10,5197.381515959366,0
33,15,3993.192426960467,0
58,15,6326.904281154534,25
46,13,5022.228919212283,19
28,17,3964.1609605815574,22
34,13,4602.160720561524,9
34,17,5439.361804733946,10
45,17,5052.518901751715,4
61,14,6337.669432057793,0
32,13,4963.540010225477,16
51,11,5771.636649003203,21
58,12,6535.535824837131,33
68,12,6046.441997683861,28
51,13,5028.332578474832,3
23,13,3618.5166719875024,4
49,19,5377.765792350104,10
56,14,5326.476671079736,20
42,13,5173.770455932664,34
58,19,5938.494209862447,11
64,17,6709.28665159302,25
34,15,4845.57215411802,18
62,15,5891.924072069276,6
48,17,5605.424602216342,6
55,16,5234.9029900510295,25
32,19,4580.929655987841,39
51,19,5709.700616797791,4
26,17,4364.658799075063,20
41,11,5257.532547467992,13
47,18,5027.976992143605,3
21,10,4626.015701404758,22
61,17,6961.084474697854,19
64,13,5398.661927570703,14
25,13,3642.201002022876,28
47,14,5371.5415040121925,7
47,17,5221.724509723563,18
63,14,7098.206202886391,38
63,17,6259.8921617122305,27
39,19,5646.2726268629785,26
49,10,4425.4380567732005,3
30,19,4907.084741666176,14
47,18,4992.24159037084,34
44,15,4834.228715190171,36
58,12,5775.820986793938,0
52,17,4887.708180134454,2
20,18,4221.392762660927,23
46,15,5395.357483358397,26
32,16,4733.096124093635,39
60,10,6443.515511066453,35
22,14,4857.391023097077,33
58,14,5718.144475456226,28
25,19,4488.675319868237,23
27,13,4496.494104167489,23
46,15,5488.80725316447,3
28,16,4596.298832232992,2
56,18,6595.251672282419,33
52,10,5370.161565755353,22
61,15,5287.132048398159,22
63,16,5801.063115692056,4
43,12,5528.633466767703,30
34,17,4711.664754323589,5
51,14,5316.200329752502,36
51,18,5011.751365795179,9
43,14,5260.643060865266,39
60,18,6322.253137636904,6
68,19,6552.936027548014,38
68,13,6273.334834422527,37
31,18,4623.320642148731,20
58,14,5970.4214832787075,19
21,19,4144.848465608831,2
22,18,3507.84752449044,21
68,12,6498.663175307439,3
56,13,5579.701765766903,27
68,18,6920.309303004879,11
36,19,4866.459320875137,37
68,15,6817.739610911446,35
21,11,3899.109306475124,4
21,16,3917.143081194271,12
47,11,6097.125623128166,22
42,11,5318.1675942077545,29
56,10,5442.74273379713,36
51,12,5998.487219310237,24
52,15,5333.347633286065,26
20,17,4112.849068905762,13
38,18,5818.337315429702,35
21,16,3334.358806180973,38
63,13,6062.109039116732,15
45,15,5454.135820451015,21
51,14,5932.349167332337,20
25,17,3629.3830463195636,20
51,10,4782.104865712491,7
23,10,4695.374675995213,15
30,15,4139.792571598081,30
36,19,4418.858746001342,9
57,11,6625.124836386083,31
43,14,5184.851157365912,33
24,10,4238.119113840787,8
53,16,5560.100277424234,16
25,10,3638.008966628415,10
41,13,5387.8484746971935,31
30,18,4704.725260962812,9
67,10,6434.345662669716,21
35,13,4691.838480361871,16
52,15,5453.840175330856,3
28,15,4856.241694773707,24
