Age,Education,Income,Experience
58.0,18.0,6214.957431023147,10.0
48.0,,4380.284250840034,14.0
34.0,14.0,4786.980574842854,31.0
62.0,,5580.46321680411,27.0
27.0,14.0,4358.274699454557,21.0
40.0,,4823.972196144032,16.0
58.0,15.0,,25.0
38.0,16.0,4703.439405400047,6.0
,13.0,6021.325686441671,25.0
30.0,17.0,4793.476145591688,24.0
30.0,,4099.270514635135,
43.0,18.0,5315.4054626298785,18.0
55.0,16.0,5597.795126831094,10.0
59.0,12.0,,12.0
43.0,,4793.054506283366,7.0
22.0,17.0,4945.088816672978,39.0
41.0,14.0,5512.699045398362,3.0
21.0,13.0,,30.0
43.0,,6014.557384034767,27.0
63.0,15.0,6187.139622041424,10.0
49.0,11.0,5998.812482430582,0.0
57.0,13.0,5869.150293761212,37.0
21.0,13.0,4246.943797405289,23.0
40.0,15.0,,30.0
52.0,,5647.650676936969,
31.0,10.0,4635.265930193999,4.0
41.0,17.0,4715.134083755804,19.0
63.0,,,10.0
44.0,12.0,5091.622491756914,32.0
68.0,,,37.0
46.0,11.0,,26.0
61.0,,,33.0
47.0,,,14.0
35.0,12.0,4651.836221987313,31.0
34.0,14.0,5390.89194872597,20.0
66.0,,,4.0
63.0,19.0,5128.0868525389415,5.0
22.0,15.0,4566.1450425331395,37.0
56.0,13.0,5453.50790133425,
26.0,,,17.0
40.0,13.0,5619.118970323216,13.0
28.0,,3961.5037027447243,9.0
58.0,13.0,,12.0
37.0,,,30.0
23.0,10.0,,
44.0,19.0,4365.780623048686,2.0
33.0,15.0,5914.782252731411,29.0
69.0,,,5.0
28.0,,4735.050020062577,28.0
45.0,,,7.0
21.0,10.0,3759.588023576749,32.0
,15.0,5015.2270560443385,16.0
47.0,,4690.339043110119,10.0
66.0,17.0,5996.025776357408,12.0
26.0,19.0,4492.830000234619,10.0
63.0,14.0,5317.357666433774,
,,4031.8552271609597,27.0
66.0,,5836.03302003114,5.0
54.0,,,15.0
33.0,17.0,,3.0
36.0,11.0,5171.076402188229,34.0
55.0,13.0,6249.408322389076,25.0
69.0,10.0,,11.0
59.0,14.0,6253.622726841703,10.0
23.0,18.0,5093.667949447207,36.0
21.0,10.0,4109.751260632341,24.0
25.0,18.0,4163.339422874727,17.0
,17.0,6353.65368168002,
23.0,15.0,4041.7944125037056,22.0
48.0,,,37.0
37.0,12.0,5415.4917365676065,17.0
45.0,,,
63.0,,6215.7096720206755,5.0
